"名称","住所","ID","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","分類"
"紀の里農協那賀支所","紀の川市名手市場310","BA555704","和歌山県","紀の川市","名手市場310","0736-75-3151","","9:00～17:00","地上３階","土、日、祝日","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"名手郵便局","紀の川市名手市場156","BA555705","和歌山県","紀の川市","名手市場156","0736-75-2550","0736-75-3803","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎洋式大便所　有り：１箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"紀の里農協桃山支所","紀の川市市場189","BA555706","和歌山県","紀の川市","市場189","0736-66-1133","0736-66-0611","8:30～17:10","地上２階","土、日、祝日","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"紀の里農協　貴志川支所","紀の川市上野山142","BA555707","和歌山県","紀の川市","上野山142","0736-64-2600","0736-64-7411","8:30～17:10","地上２階","土、日、祝日","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"紀の里農協　東貴志支所","紀の川市貴志川町岸小野179番地","BA555708","和歌山県","紀の川市","貴志川町岸小野179番地","0736-64-2018","0736-64-5367","8:30～17:10","地上１階","土、日、祝日","◎一般駐車場　有り：１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","","","金融機関・郵便局","金融機関_郵便局"
"紀の里農協　西貴志支所","紀の川市長原17-5-1","BA555709","和歌山県","紀の川市","長原17-5-1","0736-64-2488","0736-64-5368","8:30～17:10","地上２階","土、日、祝日","◎一般駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","","","金融機関・郵便局","金融機関_郵便局"
"紀の里農協　丸栖支所","紀の川市丸栖270-4","BA555710","和歌山県","紀の川市","丸栖270-4","0736-64-3024","0736-64-5369","8:30～17:10","地上２階","土、日、祝日","◎一般駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","","","金融機関・郵便局","金融機関_郵便局"
"貴志川郵便局","紀の川市神戸430","BA555711","和歌山県","紀の川市","神戸430","0736-64-2050","0736-64-3787","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：２０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"丸栖郵便局","紀の川市丸栖267","BA555712","和歌山県","紀の川市","丸栖267","0736-64-3050","0736-64-7822","9:00～16:00（17:00）","地上１階","土、日、祝日","◎一般駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"貴志川井ノ口簡易郵便局","紀の川市貴志川町井ノ口453-10","BA555713","和歌山県","紀の川市","貴志川町井ノ口453-10","0736-64-6925","0736-64-6925","9:00～16:00","地上２階","土、日、祝日","","◎施設入口への車椅子利用：可","","","","","","","","金融機関・郵便局","金融機関_郵便局"
"貴志川長山郵便局","紀の川市長山277-108","BA555714","和歌山県","紀の川市","長山277-108","0736-64-6667","0736-64-9029","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎洋式大便所　有り：２箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"（株）紀陽銀行貴志川支店","紀の川市神戸437-1","BA555715","和歌山県","紀の川市","神戸437-1","0736-64-5667","","8:00～20:00","地上２階","土、日、祝日","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"きのくに信用金庫貴志川支店","紀の川市大字前田229-1","BA555716","和歌山県","紀の川市","大字前田229-1","0736-64-8123","0736-64-8118","9:00～19:00","地上２階","土、日、祝日","◎一般駐車場　有り：７台","◎自動ドア　有り","","◎手話による案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"岩出郵便局","岩出市清水357","BA555718","和歌山県","岩出市","清水357","0736-62-6577","0736-62-5253","9:00～19:00","地上２階","土、日、祝日","◎一般駐車場　有り：１２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","",">◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"根来郵便局","岩出市根来1242-1","BA555719","和歌山県","岩出市","根来1242-1","0736-62-2943","0736-63-1702","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：６台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"岩出水栖郵便局","岩出市水栖490-9","BA555720","和歌山県","岩出市","水栖490-9","0736-62-4502","0736-63-2849","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"きのくに信用金庫岩出東支店","岩出市大町64-5","BA555722","和歌山県","岩出市","大町64-5","0736-62-9000","0736-62-9317","9:00～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"紀陽銀行岩出支店","岩出市清水374-1","BA555723","和歌山県","岩出市","清水374-1","0736-62-2112","","9:00～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：３７台","◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"紀陽銀行白浜支店","西牟婁郡白浜町890-2","BA556152","和歌山県","西牟婁郡白浜町","890-2","0739-42-3229","","9:00～15:00","地上１階","土、日、祝日","◎一般駐車場　有り：１２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"紀南農業協同組合　白浜支所","西牟婁郡白浜町1335-77","BA556153","和歌山県","西牟婁郡白浜町","1335-77","0739-43-3467","0739-43-1549","8:30～17:00","地上３階","土、日、祝日","◎一般駐車場　有り：１２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","◎車椅子用電話　有り","","◎受付カウンターを車イスの方のために低くしてある。その他はロビーマンが対応。","金融機関・郵便局","金融機関_郵便局"
"白浜郵便局","西牟婁郡白浜町911-29","BA556154","和歌山県","西牟婁郡白浜町","911-29","0739-42-2242","","9:00～19:00","地上２階","土、日（キャッシュコーナー除く）","◎一般駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階裏口付近）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：２箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"紀南農業協同組合　とんだ支所","西牟婁郡白浜町栄723-3","BA556155","和歌山県","西牟婁郡白浜町","栄723-3","0739-45-0323","0739-45-0310","8:30～16:00","地上１階","土、日、祝日","◎一般駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎車椅子の常備　有り：１台<br>◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"富田郵便局","西牟婁郡白浜町十九渕439-8","BA556156","和歌山県","西牟婁郡白浜町","十九渕439-8","0739-45-0991","0739-45-0145","9:00～16:00","地上２階","土、日、祝日、ATM無休","◎一般駐車場　有り：１５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"中辺路郵便局","田辺市中辺路町栗栖川361-1","BA556157","和歌山県","田辺市","中辺路町栗栖川361-1","0739-64-0050","0739-64-0893","8:45～18:00","地上２階","","◎一般駐車場　有り：４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎点字案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"平瀬郵便局","田辺市平瀬685","BA556158","和歌山県","田辺市","平瀬685","0739-63-0050","","9:00～17:00","地上１階","土、日、祝日","","◎施設入口への車椅子利用：可","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","◎玄関スロープに３cmの段差あり。","金融機関・郵便局","金融機関_郵便局"
"大塔郵便局","田辺市鮎川608-17","BA556159","和歌山県","田辺市","鮎川608-17","0739-48-0050","","8:00～18:00","地上２階","土、日、祝日","◎一般駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"岩田郵便局","西牟婁郡上富田町岩田1578-9","BA556160","和歌山県","西牟婁郡上富田町","岩田1578-9","0739-47-2050","0739-47-0512","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"上富田町農協市ノ瀬支所","西牟婁郡上富田町市ノ瀬641-3","BA556161","和歌山県","西牟婁郡上富田町","市ノ瀬641-3","0739-48-0008","","8:30～17:30","地上２階","土、日、祝日","◎一般駐車場　有り：２０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","","◎出入口の自動扉の速度を遅くしてある。","金融機関・郵便局","金融機関_郵便局"
"紀陽銀行朝来支店","西牟婁郡上富田町朝来字沖之芝","BA556162","和歌山県","西牟婁郡上富田町","朝来字沖之芝","0739-47-0501","","9:00～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"日置川郵便局","西牟婁郡白浜町日置142-1","BA556163","和歌山県","西牟婁郡白浜町","日置142-1","0739-52-2991","","9:00～17:00","地上１階","土、日","◎一般駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"紀陽銀行日置支店","西牟婁郡白浜町日置2058-11","BA556164","和歌山県","西牟婁郡白浜町","日置2058-11","0739-52-2005","","9:00～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"周参見郵便局","西牟婁郡すさみ町周参見4089-5","BA556165","和歌山県","西牟婁郡すさみ町","周参見4089-5","0739-55-2200","0739-55-4138","9:00～17:00","","土、日、祝日","◎一般駐車場　有り：４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り<br>◎点字案内　有り","","◎洋式大便所　有り：２箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"江住郵便局","西牟婁郡すさみ町江住1428","BA556166","和歌山県","西牟婁郡すさみ町","江住1428","0739-58-0050","0739-58-0959","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"きのくに信用金庫串本支店","東牟婁郡串本町串本1735","BA556167","和歌山県","東牟婁郡串本町","串本1735","07356-2-0067","07356-2-4037","9:00～15:00","地上３階","土、日、祝日","◎一般駐車場　有り：７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","◎従業員による介護が行われる。","金融機関・郵便局","金融機関_郵便局"
"串本郵便局","東牟婁郡串本町串本2370","BA556168","和歌山県","東牟婁郡串本町","串本2370","07356-2-0050","07356-2-4081","9:00～18:00","地上２階","土、日","◎一般駐車場　有り：５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"有田郵便局","東牟婁郡串本町有田649","BA556169","和歌山県","東牟婁郡串本町","有田649","07356-6-0542","07356-6-0032","9:00～17:00（郵便）<br>9:00～16:00（貯金・保険）","地上２階","土、日、祝日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"田並郵便局","東牟婁郡串本町田並1560-1","BA556170","和歌山県","東牟婁郡串本町","田並1560-1","07356-6-0050","07356-6-0514","9:00～17:30","地上１階","土、日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"和深郵便局","東牟婁郡串本町和深343","BA556171","和歌山県","東牟婁郡串本町","和深343","07356-7-0042","07356-7-0696","9:00～17:00（郵便）<br>9:00～16:00（預金・保険）","","土、日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"大島郵便局","東牟婁郡串本町大島29-1","BA556172","和歌山県","東牟婁郡串本町","大島29-1","07356-5-0242","07356-5-0104","9:00～17:00（郵便）<br>9:00～16:00（預金・保険）","地上１階","土、日、祝日","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","◎従業員による介護が行われる。","金融機関・郵便局","金融機関_郵便局"
"那智浦神郵便局","東牟婁郡那智勝浦町浦神373-8","BA556269","和歌山県","東牟婁郡那智勝浦町","浦神373-8","07355-8-0150","07355-8-1247","9:00～17:30","地上１階","土、日、祝日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"那智宇久井郵便局","東牟婁郡那智勝浦町宇久井68-1","BA556270","和歌山県","東牟婁郡那智勝浦町","宇久井68-1","07355-4-0242","07355-4-1319","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"那智井関郵便局","東牟婁郡那智勝浦町井関946-1","BA556271","和歌山県","東牟婁郡那智勝浦町","井関946-1","07355-2-2381","07355-2-3683","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"那智天満郵便局","東牟婁郡那智勝浦町天満539-1","BA556272","和歌山県","東牟婁郡那智勝浦町","天満539-1","07355-2-2380","07355-2-5941","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"太田郵便局","東牟婁郡那智勝浦町南大居1000-7","BA556274","和歌山県","東牟婁郡那智勝浦町","南大居1000-7","07355-7-0351","07355-7-0930","9:00～17:30","地上２階","土、日、祝日","","◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"下里郵便局","東牟婁郡那智勝浦町八尺鏡野641","BA556275","和歌山県","東牟婁郡那智勝浦町","八尺鏡野641","07355-8-0050","","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"那智勝浦朝日郵便局","東牟婁郡那智勝浦町朝日3丁目179","BA556276","和歌山県","東牟婁郡那智勝浦町","朝日3丁目179","07355-2-6444","07355-2-6447","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"みくまの農協太田支所","東牟婁郡那智勝浦町大字南大居1038","BA556277","和歌山県","東牟婁郡那智勝浦町","大字南大居1038","07355-7-0301","07355-7-0659","8:30～17:30","地上１階","土、日、祝日","◎一般駐車場　有り：７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","","","金融機関・郵便局","金融機関_郵便局"
"紀伊勝浦郵便局","東牟婁郡那智勝浦町築地7-10-1","BA556278","和歌山県","東牟婁郡那智勝浦町","築地7-10-1","0735-52-0237（総務係）","0735-52-3224","9:00～17:00","地上２階、地下１階","土、日、祝日","◎一般駐車場　有り：４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎点字による案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","◎切手、はがき、ふみカード販売機に点字が付いている","金融機関・郵便局","金融機関_郵便局"
"太地郵便局","東牟婁郡太地町太地3393","BA556279","和歌山県","東牟婁郡太地町","太地3393","07355-9-3270","07355-9-3816","9:00～17:00","地上２階","土、日、祝日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"古座中湊郵便局","東牟婁郡串本町中湊102-3","BA556280","和歌山県","東牟婁郡串本町","中湊102-3","07357-2-1922","07357-2-2964","9:00～17:00","地上１階","土、日、祝日","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","◎洋式大便所　有り：２箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"第三銀行古座支店","東牟婁郡串本町中湊497-2","BA556281","和歌山県","東牟婁郡串本町","中湊497-2","07357-2-0090・0091","07357-2-2331","9:00～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"南紀古座農協高池支所","東牟婁郡古座川町高池660-1","BA556282","和歌山県","東牟婁郡古座川町","高池660-1","07357-2-0202","07357-2-0202","8:30～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：１０台","","","","","","","","","金融機関・郵便局","金融機関_郵便局"
"高池郵便局","東牟婁郡古座川町高池706","BA556283","和歌山県","東牟婁郡古座川町","高池706","07357-2-1921","07357-2-3152","9:00～17:00","地上２階","土、日、祝日","","◎自動ドア　有り","","","","◎洋式大便所　有り：１箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"請川郵便局","田辺市本宮町請川142","BA556284","和歌山県","田辺市","本宮町請川142","07354-2-0049","07354-2-0736","9:00～17:30","地上１階","土、日、祝日","◎一般駐車場　有り：６台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"(株)紀陽銀行本宮支店","田辺市本宮町本宮223-5","BA556285","和歌山県","田辺市","本宮町本宮223-5","0735-42-1875","","9:00～15:00<br>（キャッシュコーナー8:45～18:00）","地上１階","土、日、祝日","◎一般駐車場　有り：４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","","","◎キャッシュコーナー　有り","","金融機関・郵便局","金融機関_郵便局"
"JA紀南中芳養支所","田辺市中芳養1102-1","BA556442","和歌山県","田辺市","中芳養1102-1","0739-22-1832","0739-22-2911","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：１５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：手摺","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）","","","","金融機関・郵便局","金融機関_郵便局"
"真妻郵便局","日高郡印南町上洞843","BA556443","和歌山県","日高郡印南町","上洞843","0738-46-0250","0738-46-0138","9:00～17:00","地上２階","土、日、祝日","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","金融機関・郵便局","金融機関_郵便局"
"紀陽銀行堀止支店","和歌山市吹上４丁目１番４０","BA715110","和歌山県","和歌山市","吹上４丁目１番４０","073-422-8163","","9:00～15:00","地上１階","土・日・祝日","◎一般駐車場　有り：１５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","◎洋式大便所　有り：２箇所","","","◎キャッシュコーナー利用時間：8:00～20:00（土・日・祝日9:00～19:00）<br>◎店内キャッシュコーナー：9:00～15:00<br>◎店内貸金庫　平日9:00～17:00","金融機関・郵便局","金融機関_郵便局"
"有功郵便局","和歌山市六十谷２１９－１","BA755442","和歌山県","和歌山市","六十谷２１９－１","073-461-2991","","9:00～17:00","地上１階","土・日・祝日","◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","","","","","金融機関・郵便局","金融機関_郵便局"
"調月簡易郵便局","紀の川市桃山町調月１０５３－５","BA755444","和歌山県","紀の川市","桃山町調月１０５３－５","0736-66-2400","","9:00～16:00","地上１階","土・日・祝日","◎一般駐車場　有り：２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","","","","","金融機関・郵便局","金融機関_郵便局"
"和歌山県立紀北青少年の家","伊都郡かつらぎ町中飯降1317-3","BA555820","和歌山県","伊都郡かつらぎ町","中飯降1317-3","0736-22-5530","0736-22-5531","24時間","地上３階","月曜","◎一般駐車場　有り：２５台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：４箇所（廊下）<br>◎洋式大便所　有り：６箇所","","","","宿泊施設","宿泊施設"
"アバローム紀の国","和歌山市湊通丁北2-1-2","BA555215","和歌山県","和歌山市","湊通丁北2-1-2","073-436-1200","073-436-8866","24時間","地上１１階、地下１階","なし","◎一般駐車場　有り：１３０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：２箇所（１階、２階）<br>◎洋式大便所　有り：６箇所<br>◎手すり付便所　有り：６箇所","◎車椅子用電話　有り：４箇所","◎車椅子の常備　有り：２台（１階）<br>◎キャッシュコーナー　有り<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎エスカレーターは１階から３階までです。","宿泊施設","宿泊施設"
"ホテルグランヴィア和歌山","和歌山市友田町５丁目18","BA555216","和歌山県","和歌山市","友田町５丁目18","073-425-3333","073-422-1871","24時間","地上１０階、地下１階","年中無休","◎一般駐車場　有り：５９６台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（ロビー奥）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","◎車椅子用電話　有り<br>◎難聴者用電話　有り：２箇所","◎車椅子の常備　有り：３台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎障害者用エレベーターは近鉄正面エレベーターを利用。","宿泊施設","宿泊施設"
"サンホテル和歌山","和歌山市友田町4-75","BA555218","和歌山県","和歌山市","友田町4-75","073-421-5911","073-421-5922","24時間","地上７階","無休","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（玄関ロビー）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","◎難聴者用電話　有り","◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","","宿泊施設","宿泊施設"
"少年自然の家","和歌山市加太１９０７-２","BA555219","和歌山県","和歌山市","加太１９０７-２","073-459-2107","073-459-2108","8:30～17:30","地上２階","毎週水曜日","◎一般駐車場　有り：１２台","◎施設入口への車椅子利用：可","","","","◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：３箇所","","","◎手スリ付便所外部（体育館横）に１ケ所、宿泊棟に２ケ所有ります。","宿泊施設","宿泊施設"
