"名称","住所","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","経度","緯度","分類"
"紀州白浜温泉むさし","西牟婁郡白浜町868","和歌山県","西牟婁郡白浜町","868","0739-43-0634","0739-82-2020","15:00～10:00","地上１６階、地下１階","月2回（不定期）","◎一般駐車場　有り：１００台","◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：1箇所（１階）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","◎事前に連絡をしておけば従業員による介護は可能である。","宿泊施設","135.344109537834","33.6849797375183","宿泊施設"
"万亭","西牟婁郡白浜町920-16","和歌山県","西牟婁郡白浜町","920-16","0739-43-5005","0739-42-5353","24時間","地上３階","年中無休","◎一般駐車場　有り：２０台","","","","","◎洋式大便所　有り","","","","宿泊施設","135.348498016273","33.6841464987531","宿泊施設"
"コガノイベイホテル","西牟婁郡白浜町Jan-12","和歌山県","西牟婁郡白浜町","Jan-12","0739-43-6000","0739-43-5805","終日","地上１０階、地下２階","年中無休","◎一般駐車場　有り：８８台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１箇所（２階）<br>◎洋式大便所　有り<br>◎手すり付便所　有り","","◎授乳室　有り（１階２台）","◎障害者の方の対応可能。","宿泊施設","135.35805259173","33.6828687711446","宿泊施設"
"かんぽの宿白浜","西牟婁郡白浜町1688-2","和歌山県","西牟婁郡白浜町","1688-2","0739-42-2980","0739-42-2978","6:00～22:00","地上４階","年２回","◎一般駐車場　有り：３７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り","◎車椅子用電話　有り","◎車椅子の常備　有り：２台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎車イス利用者用の部屋がある。<br>◎エレベーターを使わなくてもスロープで４階まで建物全て移動できる。","宿泊施設","135.333721810961","33.6715645312405","宿泊施設"
"森観光トラスト株式会社ホテルラフォーレ南紀白浜","西牟婁郡白浜町2428","和歌山県","西牟婁郡白浜町","2428","0739-43-8000","0739-43-8001","","地上１１階、地下１階","なし","◎一般駐車場　有り：１０９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備　有り（インターホン）","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り<br>◎手すり付便所　有り","","◎車椅子の常備　有り：２台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：２室","◎５階に低床型UB（２８室）採用。そのうち２室は車椅子対応室である。","宿泊施設","135.345748327218","33.6783415785822","宿泊施設"
"財団法人和歌山県教育互助会湯処むろべ","西牟婁郡白浜町1997","和歌山県","西牟婁郡白浜町","1997","0739-42-3300","0739-42-3303","","地上４階","毎月第2水曜日、1/7～12、8/31～9/6","◎一般駐車場　有り：３０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：１箇所（３階）<br>◎洋式大便所　有り：３５箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：１台","◎全館バリアフリーになっています。<br>◎ホームページアドレスhttp://www.cypress.ne.jp/murobe","宿泊施設","135.343530502599","33.6745565023441","宿泊施設"
"ホテルグリーンヒル白浜","西牟婁郡白浜町2018","和歌山県","西牟婁郡白浜町","2018","0739-42-2733","0739-43-1007","7:00～23:30","地上４階","特定日なし(年4回位)","◎一般駐車場　有り：１５０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り（音声案内）<br>◎エスカレーター　有り","◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：３箇所","","","◎従業員の福祉教育に力を入れ、啓発を行っています。","宿泊施設","135.342477041269","33.6721219728537","宿泊施設"
"向平キャンプ場","西牟婁郡白浜町大字久木字宮之原27番地","和歌山県","西牟婁郡白浜町","大字久木字宮之原27番地","0739-53-0122","","8:00～17:00（管理棟）","地上２階","無休","◎一般駐車場　有り：１００台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（屋外）<br>◎洋式大便所　有り：１箇所","","","","宿泊施設","135.469459423901","33.633709276072","宿泊施設"
"和歌山勤労者いこいの村","西牟婁郡すさみ町周参見4857-3","和歌山県","西牟婁郡すさみ町","周参見4857-3","0739-55-3630","0739-55-2929","7:00～22:00","地上４階","年15回","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り<","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：２箇所（大出入口９１）<br>◎洋式大便所　有り：３７箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：２台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り","","宿泊施設","135.479620104788","33.5531785959721","宿泊施設"
"琴の滝荘","西牟婁郡すさみ町周参見５５","和歌山県","西牟婁郡すさみ町","周参見５５","0739-55-4335","0739-55-4744","7:00～22:00","地上２階","不定期","◎一般駐車場　有り：１１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（ホールより６～７ｍ）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：１台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：２室","","宿泊施設","135.539258374767","33.5583587353829","宿泊施設"
"潮岬青少年の家","東牟婁郡串本町潮岬668","和歌山県","東牟婁郡串本町","潮岬668","07356-2-0182","07356-2-0182","8:30～17:15","地上２階","月曜、12/28～1/4","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階廊下横）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：４台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎従業員による介護が行われる。","宿泊施設","135.780944338745","33.4463206767632","宿泊施設"
"サンかつうら","東牟婁郡那智勝浦町天満803-3","和歌山県","東牟婁郡那智勝浦町","天満803-3","0735-52-4750","0735-52-4750","","地上４階","年中無休","◎一般駐車場　有り：４０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：２箇所（２階３階）<br>◎洋式大便所　有り：１箇所","","◎車椅子の常備　有り：２台","","宿泊施設","135.941582809618","33.6336038271326","宿泊施設"
"ホテル浦島","東牟婁郡那智勝浦町勝浦1165-2","和歌山県","東牟婁郡那智勝浦町","勝浦1165-2","07355-2-1011","07355-2-5253","","地上７階","年中無休","◎一般駐車場　有り：５０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：２箇所（１階）<br>◎洋式大便所　有り：１００箇所","","◎車椅子の常備　有り：１５台<br>◎車椅子用の浴室　有り","","宿泊施設","135.950809805531","33.6256332886835","宿泊施設"
"国民宿舎白鯨","東牟婁郡太地町太地2973-4","和歌山県","東牟婁郡太地町","太地2973-4","07355-9-2323","07355-9-2324","終日","地上５階","年中無休","◎一般駐車場　有り：１８台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：（１階）<br>◎洋式大便所　有り：１０箇所","◎車椅子用電話　有り：１箇所","","","宿泊施設","135.946146890055","33.5976770763628","宿泊施設"
"国民宿舎あらふね","東牟婁郡串本町田原２５１８","和歌山県","東牟婁郡串本町","田原２５１８","0735-74-0124","","7:30～22:00","地上３階","年中無休","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：室内誘導灯","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：６箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：２室","","宿泊施設","135.876468479299","33.5344454258002","宿泊施設"
"ぼたん荘","東牟婁郡古座川町月野瀬881-1","和歌山県","東牟婁郡古座川町","月野瀬881-1","07357-2-0376","07357-2-3666","7:00～22:00","地上２階","年5回","◎一般駐車場　有り：３２台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：２箇所（１ヶ所はいろり館の方）<br>◎洋式大便所　有り：２０箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り","◎車椅子の常備　有り：１台","","宿泊施設","135.789292911238","33.5356129004387","宿泊施設"
"熊野川温泉さつき","新宮市熊野川町日足707","和歌山県","新宮市","熊野川町日足707","0735-44-0193","0735-44-0191","12:00～20:30","地上１階","第3水曜日","◎一般駐車場　有り：２３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：１台","","宿泊施設","135.870613704222","33.7969171331556","宿泊施設"
"川湯野営場","田辺市本宮町川湯字平野1271","和歌山県","田辺市","本宮町川湯字平野1271","07354-2-1168","","8:00～17:00まで管理人勤務","地上１階","","◎一般駐車場　有り：約８０台","","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","宿泊施設","135.780932192583","33.8148781336998","宿泊施設"
"おくとろ温泉","東牟婁郡北山村下尾井476477","和歌山県","東牟婁郡北山村","下尾井476477","073549-2575","073549-2579","12:00～21:00","地上１階","第4水曜","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：６箇所<br>◎手すり付便所　有り：１箇所","","","","宿泊施設","135.946003561532","33.9398251891658","宿泊施設"
"ゆの里宿泊施設","橋本市神野々字竹之岸893-1","和歌山県","橋本市","神野々字竹之岸893-1","0736-33-1126","0736-34-2326","PM3:00～AM10:00","地上４階","なし","◎一般駐車場　有り：100台<br>◎障害者用駐車場　有り：1台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り<br>◎建物に隣接して駐車場が2箇所あります。詳細は備考に","◎誘導ブロック　有り<br>◎インターホン　有り","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（1階階段室エレベーター横）<br>◎洋式大便所　有り：２０箇所","","◎車椅子購入予定あり。ローカに段差があるが、従業員による介護が行える。","◎東側駐車場からスロープで玄関まで行けるが、一部で幅が115CMとなっている。通路中心にグレーチングが敷いてあるが、概ね対応ができている。<br>◎南側駐車場は、少し急な坂道を登り敷地の入口に達し玄関に至る。敷地入口には荒いグレーチングが敷いてある。","宿泊施設","135.579017209477","34.3055815169092","宿泊施設"
"神野々緑地キャンプ場","橋本市神野々（紀ノ川河川敷）","和歌山県","橋本市","神野々（紀ノ川河川敷）","0736-33-2317（橋本市文化スポーツ振興公社）","","","地上１階","","","","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","◎トイレ棟（男子棟、障害者用棟、女子棟）","宿泊施設","135.581346196883","34.3011864053268","宿泊施設"
"国民宿舎　紀伊見荘","橋本市矢倉脇115","和歌山県","橋本市","矢倉脇115","0736-36-4000","","","地上４階","","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所","","◎車椅子の常備　有り：１台（食堂）","◎女子浴場出入口にスロープ設置・出入口建具を改修<br>障害者用として、２階客室前トイレ改修・客室内呼び出しボタン設置・エレベーター設置","宿泊施設","135.60036581486","34.3683978951384","宿泊施設"
"不動院","伊都郡高野町高野山456","和歌山県","伊都郡高野町","高野山456","0736-56-2414","","終日","地上２階","なし","◎一般駐車場　有り：約２０台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所","","◎車椅子の常備　有り：１台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎車椅子対応客室（１室）を完備<br>食事室は座敷であるが、車椅子使用の方のためにテーブル等を用意し対応。<br>食事室入口にはスロープを設置","宿泊施設","135.590636342047","34.2112092559076","宿泊施設"
"本覚院","伊都郡高野町高野山618","和歌山県","伊都郡高野町","高野山618","0736-56-2711","","終日","地上２階","なし","◎一般駐車場　有り：２０台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１０箇所","","◎車椅子の常備　有り：１台（２Ｆ廊下）","◎客室４６のうち８室は、玄関ホールから客室前まで廊下幅に余裕をもたし、段差をなくしている。ただし、廊下から客室へは段差がある。","宿泊施設","135.586809925898","34.2155397966231","宿泊施設"
"花園グリーンパーク","伊都郡かつらぎ町花園新子256-1","和歌山県","伊都郡かつらぎ町","花園新子256-1","0737-26-9511","","8:00～20:00","地上２階","なし","◎一般駐車場　有り：５８台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１０箇所","","","◎客室には２段ベッドあり","宿泊施設","135.560912336129","34.1342805272119","宿泊施設"
"中南森林公園オートキャンプ場","伊都郡かつらぎ町花園中南","和歌山県","伊都郡かつらぎ町","花園中南","","","13:00～22:00","地上１階","","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台","","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所","","","","宿泊施設","135.565154609883","34.13709355243","宿泊施設"
"花園ふるさとセンター","伊都郡かつらぎ町花園梁瀬779","和歌山県","伊都郡かつらぎ町","花園梁瀬779","0737-26-0326","","8:00～21:00","地上３階","なし","◎一般駐車場　有り：３０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所","","","◎障害者用の駐車スペースはないが玄関左側に駐車可<br>◎浴槽は介護必要","宿泊施設","135.519098755894","34.1384301221511","宿泊施設"
"花園守口ふるさと村","伊都郡かつらぎ町花園梁瀬919","和歌山県","伊都郡かつらぎ町","花園梁瀬919","0737-26-0022","","8:00～17:00","地上１階","なし","◎一般駐車場　有り：１２台<br>◎障害者用駐車場　有り：３台","","","","","◎障害者（車椅子）用便所　有り：１箇所","","","◎コテージ１０棟の内１棟のみ障害者用があるが、施設の入口は８０cm以上なく使用時は介護必要","宿泊施設","135.524616011772","34.1592010139844","宿泊施設"
"しみず温泉あさぎり","有田郡有田川町清水1181","和歌山県","有田郡有田川町","清水1181","0737-25-1181","","16:00～22:00","地上２階","","◎一般駐車場　有り：１３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（玄関ホール）","◎宿泊、浴室介護必要","宿泊施設","135.431950384727","34.0819689338545","宿泊施設"
"季楽里龍神","田辺市龍神村龍神189","和歌山県","田辺市","龍神村龍神189","0739-79-0331","","15:00～10:00","地上４階","なし","◎一般駐車場　有り：５７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：４０箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","","宿泊施設","135.563496363195","33.9680339560739","宿泊施設"
"ホテル川久","西牟婁郡白浜町3745","和歌山県","西牟婁郡白浜町","3745","0739-42-3322","","","地上８階","年中無休","◎一般駐車場　有り：５０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所","","◎車椅子の常備　有り：４台","◎車椅子利用者の専用客室はない。広くゆったり目の洋室が利用できるが、浴室やトイレに手すり等はなく、障害者等に対応していない。","宿泊施設","135.357339058614","33.6884187004009","宿泊施設"
"白良荘グランドホテル","西牟婁郡白浜町868","和歌山県","西牟婁郡白浜町","868","0739-43-0100","0739-42-2438","","地上６階","年中無休","◎一般駐車場　有り：７０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り<br>◎エスカレーター　有り（１Ｆから２Ｆのみ、大浴場までの専用）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所","◎車椅子用電話　有り：３箇所","◎車椅子の常備　有り：３台（玄関ロビー横）","◎障害者用の専用駐車スペースはないが、玄関に近い所に駐車可能<br>◎大浴場の浴槽は、障害者塔対応になっていないが、脱衣場まではスロープ有り<br>１Ｆに家族風呂が１箇所有り（時間制・要予約）","宿泊施設","135.34358599255","33.6845244923349","宿泊施設"
"大塔青少年旅行村","田辺市下川下","和歌山県","田辺市","下川下","","","シーズン（６月１日～１０月末日）","","","◎一般駐車場　有り：約３０台","","","","","◎障害者（車椅子）用便所　有り：１箇所","","","◎車椅子対応のバンガローが１０棟有り。浴室付<br>◎ただし、浄化槽未設置のため、トイレについては外部トイレを使用","宿泊施設","135.574172164818","33.7360407927661","宿泊施設"
"百間山渓谷キャンプ場","田辺市熊野","和歌山県","田辺市","熊野","","","シーズン期間（ＧＷ、６月１日～１０月３１日）","","なし","◎障害者用としての駐車区画はないが、空地有り","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：２箇所","","","◎車椅子対応のバンガローが１０棟。ただし、トイレは外部使用<br>◎同じ地面レベルでの障害者用トイレはなし","宿泊施設","135.615431975598","33.7125239320705","宿泊施設"
"リヴァージュ・スパひきがわ","西牟婁郡白浜町日置1013-25","和歌山県","西牟婁郡白浜町","日置1013-25","0739-52-2370","","15:00～10:00","地上３階","ナシ","◎一般駐車場　有り：９９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：３０箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：２台（正面玄関）","◎公衆浴場の利用時間は、11:00～21:00（火曜日は、16:00～21:00）<br>◎客室２室は、高齢者用の手すりのみ設置有り","宿泊施設","135.428351430401","33.5717485975234","宿泊施設"
"ダイワロイネットホテル","和歌山市七番丁26-1","和歌山県","和歌山市","七番丁26-1","073-435-0055","073-435-0056","ホテル客室：14:00～翌日11:00","地上２０階","なし","◎一般駐車場(大型車専用)　有り：３台<br>◎障害者用駐車場　有り：４台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：5箇所<br>◎洋式大便所　有り：1箇所<br>◎手すり付便所　有り：1箇所","◎車椅子用電話　有り：2箇所","◎宿泊室内　車椅子等に配慮した浴室及びトイレ　有り：1室<br>◎車椅子の常備　有り：2台","◎ホテル隣接の立体駐車場利用可","宿泊施設","135.173226852256","34.2304661931731","宿泊施設"
"ゆの里、お水の里　このの","橋本市神野々895","和歌山県","橋本市","神野々895","0736-32-2929","","15:00～翌日10:00","地上３階","","◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：1箇所<br>◎洋式大便所　有り","","◎車椅子の常備　有り：1台","◎家族風呂有り","宿泊施設","135.579996253104","34.3060197614432","宿泊施設"
"橋本市自然体験施設ひこばえの里","橋本市彦谷７５２－１５","和歌山県","橋本市","彦谷７５２－１５","","","","地上１階","火・水","◎一般駐車場　有り：１０台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所","","","","宿泊施設","135.638216165503","34.2939611300466","宿泊施設"
"ロイヤルパインズホテル","和歌山市毛見１５１７","和歌山県","和歌山市","毛見１５１７","073-448-0360","","","地上７階","","◎一般駐車場　有り：７０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：５箇所","","◎車椅子の常備　有り：２台　玄関ホール内","◎ベビーベッド有り：女子トイレ内","宿泊施設","135.179561123403","34.1550592660084","宿泊施設"
"休暇村南紀勝浦","東牟婁郡那智勝浦町宇久井７１９","和歌山県","東牟婁郡那智勝浦町","宇久井７１９","0735-54-0126","","7:00～21:00","地上５階","なし","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎点字案内　有り","◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：２台　玄関ホール左側","◎ベビーベッド　有り：障害者用便所内<br>車いすに配慮した客室　有り：２室","宿泊施設","135.984632936697","33.6595264175496","宿泊施設"
"Ａコープみなべ","日高郡みなべ町東吉田字砂取６０１","和歌山県","日高郡みなべ町","東吉田字砂取６０１","0739-72-1919","","9:00～20:00","地上１階","なし","◎一般駐車場　有り：４１台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所","","","◎ベビーベッド　有り：玄関風除室内左側<br>◎キャッシュコーナー　有り","大規模小売店舗","135.328250051157","33.7768847063232","大規模小売店舗"
"スーパードラッグキリン下万呂店","田辺市下万呂字裏代４１８","和歌山県","田辺市","下万呂字裏代４１８","0739-81-3366","","9:00～23:00","地上１階","なし","◎一般駐車場　有り：１３０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","◎ベビーベッド　有り：障害者用便所内","大規模小売店舗","135.395715920894","33.7387792519405","大規模小売店舗"
"ＪＡ紀南ファーマーズマーケット「紀菜柑」","田辺市秋津町７５２－１","和歌山県","田辺市","秋津町７５２－１","0739-81-0831","","9:00～18:00","地上１階","なし","◎一般駐車場　有り：２２２台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台　玄関横","◎ベビーベッド　有り：障害者用便所内","大規模小売店舗","135.387633332275","33.7432230373131","大規模小売店舗"
"チェーンストアオークワ本店","和歌山市中島185-3","和歌山県","和歌山市","中島185-3","073-425-2400","073-425-2422","9:00～21:00","地上１階","無休","◎一般駐車場　有り：４００台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（売場出入口横）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","◎公衆ＦＡＸ　有り","◎車椅子の常備　有り：２台<br>◎キャッシュコーナー　有り","","大規模小売店舗","135.186226260081","34.2091356508795","大規模小売店舗"
"チェーンストアオークワ西浜店","和歌山市西浜938-2","和歌山県","和歌山市","西浜938-2","073-447-2213","073-447-2216","9:00～22:00","地上１階","無休","◎一般駐車場　有り：１５５台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台","","大規模小売店舗","135.158367571654","34.2006085822089","大規模小売店舗"
"Ａコープかつらぎ店","伊都郡かつらぎ町佐野迎田188-1","和歌山県","伊都郡かつらぎ町","佐野迎田188-1","0736-22-0222","0736-22-6436","9:00～21:00","地上２階","1月1日","◎一般駐車場　有り：５０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","","","大規模小売店舗","135.482948629049","34.2887984991053","大規模小売店舗"
"オークワかつらぎ町","伊都郡かつらぎ町佐野字島田881-1他","和歌山県","伊都郡かつらぎ町","佐野字島田881-1他","0736-22-3600","0736-22-8787","9:30～20:00","地上１階","火曜日（24日/年）","◎一般駐車場　有り：３００台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り（点字ブロック横に呼びブザー）","","◎障害者（車椅子）用便所　有り：１箇所（1階玄関横）<br>◎手すり付便所　有り：２箇所","◎公衆FAX　有り：２箇所","◎車椅子の常備　有り","◎障害者等の団体が事前に連絡あれば、店長等により対応します。","大規模小売店舗","135.487236052244","34.2926936829233","大規模小売店舗"
"は～と＆は～と妙寺店","伊都郡かつらぎ町妙寺92-1","和歌山県","伊都郡かつらぎ町","妙寺92-1","0736-23-2678","0736-23-2578","10:00～20:00","地上１階","なし","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","","","","","大規模小売店舗","135.527195012872","34.3003253232058","大規模小売店舗"
